CODPROD,CODBARRAS,DESCRIPCION,PRECIO
1,,PRODUCTOS VARIOS,1
2,2,PRODUCTOS VARIOS,75001
5,,LLAVES,1500
6,78028531,PALLMALL 18,2800
7,7804656050029,LEVAMAS LEVADURA,4500
8,7804605820215,TRIANA MANTECA,3500
9,,ARRIENDO DE INMUEBLES AMOBLADOS,1
10,7622201717629,CLUB SOCIAL,2900
11,7802820454208,BENEDICTINO,1490
12,7783007820354,BALDE,1990
13,7898629670215,TABACO GOLDEN VIRGINIA,8500
14,7750727009819,SALMAS HORNEADAS,1990
15,812049006604,CAJA DE ARANDANOS,2900
16,7809611717214,VURGER QUINOA,1250
17,7798304850041,AROS DE CEBOLLA,3490
18,7801220000848,PASTA DE CHOCLO,3490
19,7801220004402,CHOCLO EN TROZO,3200
20,7808751400567,SILICONA R-66,3990
21,7802900003494,LECHE SOPROLE 200ML,490
22,,"LA COCINA DE PLATOS Y COPAS ",990
23,7702026180355,NOSOTRAS 8 ULTRA INVISIBLE,1250
24,7794626999314,KOTEX 2 EN 1 PERIODO,1390
25,7806500981527,ALCOHOL GEL,7900
26,079400052919,REXONA CLINICAL,5490
27,75029982,REXONA,2900
28,7896018703551,PLENITUD,1790
29,7506306207516,FIJADOR DE PELO,3490
30,7794626008214,HUGGIES PEQUEÑO,8700
31,7891150046481,JABON DOVE ORIGINAL,3490
32,7891150055230,DOVE OLEO MICELAR,4600
33,7790520006479,LYSOFORM LIMPIADOR CREMOSO 450ML,2900
34,7790520990020,PATO PURIFIC GEL LIMPIADOR,2990
35,7802920009834,LOS ALPES MOZZARELLA,3250
36,070847035800,MONSTER ENERGY,1990
37,078895133981,SALSA DE ANGUILA,2990
38,078895710922,PURE ASESAMO,8900
39,070847035206,MOSTERS,1990
40,7805095000712,CLORO PISCINA,4900
41,071603055827,CEPILLO PARA UÑAS,1490
42,7806810007443,VIRUTEX PARA PISOS,4200
43,038000138577,PRINGLES CHEDDAR CHEESE,2100
44,7802420001796,TE CEYLAN,990
45,7802420001284,CORAZONES DE ALCACHOFA,3400
46,7891962060453,TOSTADAS CLASICA,1100
47,7891962037349,QUEQUE COCO,1490
48,7891962037356,QUEQUE MARMOLADO,1490
49,7802420003592,SALSA DIP MAYO QUESO 220G,1690
50,7802420003455,SALSA DE MAYO AJO,1690
51,7802420003462,SALSA DIP TARTARA,1690
52,062020050526,NUTELLA GO,2450
53,,CHORIZO ARTESANAL,4500
54,5900020028075,CHOCAPIC BARRA,200
55,7802000014925,AVENA INSTANTANEA,2450
56,7802000015151,DE TODITO,1600
57,7802000015168,DE TODITO,1790
58,10030189,ALCOHOL 500CC,3990
59,7801000001331,AGUA OXIGENADA,2490
60,7800155006215,FLEXIBLE,4990
61,7809619915742,FLEXIBLE,14900
62,7802420007415,MANI SALADO,3490
63,7802000017742,MANI SALADO,1250
64,,ZAPALLO ITALIANO,750
99,,ALOJAMIENTO,1
100,7807265041907,CUADERNO,1650
101,,FILETE TIPO V,17500
102,,LOMO LISO TIPO V VACIO,16000
103,,LOMO VETADO TIPO V VACIO,17500
104,,PALANCA CAT V,12000
105,,ASIENTO V VACIO,5990
106,,POSTA ROSADA TIP V,12000
107,,POSTA NEGRA TIP V,7450
108,,POSTA PALETA TIP V,4490
109,,ABASTERO TIPO V VACIO PARAGUAY,9900
110,,CHOCLILLO TIP V,3900
111,,PLATEADA V,6900
112,,LOMITO DE CERDO,3500
113,7807265066771,CUADERNO,1650
114,3100004019569,PLASTICINA,1750
115,,CHURRASCO ENVASADO P.F,6100
116,,POSTA MOLIDA,4990
117,7804945076143,COLONIA BABYLAND,3250
118,1010025120675,PALITOS DE HELADO,600
119,,TAPAPECHO V,6900
120,,SALCHICHA PREF,2640
121,,PAVO ENTERO,2990
122,4100017283000,COLA FRIA,990
123,3100003712904,SACA PUNTAS,650
124,,PECHUGA DESHUESADA SUPERPOLLO,8500
125,,LOMO DE CENTRO CERDO,9900
126,,QUESO CABRA,19000
127,,QUESO QUILLAYES,21000
128,,PECHUGA PAVO GRANEL,4990
129,,PECHUGA PAVO DESHUEZADA SOPRAVAL,4990
130,,TRUTO LARGO SUPERPOLLO,2350
131,,TRUTO CORTO SUPERPOLLO,2350
132,,TRUTO ALA SUPER POLLO,5490
133,,PECHUGA ENTERA SUPERPOLLO,5900
134,,TRUTO ENTERO SUPERPOLLO,4500
135,,CHULETA CERDO ENVASADA,3900
136,,COLUDA V CAZUELA,1300
137,,PULPA DE CERDO SUPER CERDO,7490
138,,ALIMENTO PERRO,1990
140,,POLLO ENTERO,3700
141,,SALOMILLO DE CERDO,4800
142,,COSTILLAR DE CERDO,9990
143,,PAN FRIO,690
144,,ASADO TIRA TIP V,6900
145,,CHULETA DE CENTRO  CERDO,8490
146,,POLLO ENTERO SUPER POLLO,1690
147,,PECHUGA DE  PAVO  DESHUESADA,3990
148,6999881512181,CABLE SAMSUNG,3900
149,,JAMON ARTESANAL LA CRIANZA,9450
150,,VIENESAS,1450
151,7803910043647,LENTEJAS,2900
152,,JAMON ACARAMELADO S CERDO,7450
153,,JAMON COCIDO,4800
154,7809611717221,VURGER GARBANZOS,950
155,,JAMON PIERNA CORTE PLUMA WINTER,7450
156,,JAMON SANDWICH SOPRAVAL,7500
157,,JAMONADA CORRIENTE P.F,7500
158,,JAMON SANDWICH OMEÑACA,9000
159,7809611717207,VURGER POROTOS,1250
160,,PAVO COCIDO AHUM,4800
161,,SALCHICHON CERVEZA,3200
162,,QUESO DE CABEZA OMEÑACA,9900
163,,PICHANGA,3800
164,,PATITA RELLENA OME,3200
165,,SALAME COCIDO PF,4490
166,,ARROLLADO DE HUASO,8900
167,,ARROLLADO LOMO PF,7900
168,,TOCINO AHUMADO,19000
169,,SALAME SALAMIN,5500
170,,QUESO FUNDO,14000
171,,JAMON PRAGA PF,5200
172,,QUESO CHANCO LAMINADO,9900
173,,JAMONADA DE PAVO,3200
174,,CHORICILLO DE COCTEL,3500
175,7804620531479,TRAPERO,1490
176,,CERVECERO,3300
177,,PATE DE CAMPO,2800
178,7806505998858,CUADERNO TORRE COLLEGE,990
179,,JAMON AHUMADO S CERDO,7900
180,,PAVO PIMENTON,3600
181,,LOMO ACARAMELADO,5900
182,,SALAME AHUMADO PF,18000
183,,SALAME ITALIANO PF,11900
185,,JAMON PLANCHADO PF ABUELO,7900
186,,ARROLlLADO DE HUASO OMEÑACA,12640
187,,JAMON CAMPO COC OME,13900
188,,JAMON AHUMADO ONEÑACA,13000
189,,SALAME ESPAÑOL OMEÑACA,18000
190,,PATE DE JAMON,3200
191,,JAMONADA ESPECIAL OMEÑACA,12500
192,,BUTIFARRA OMEÑACA,4500
193,,ARROLL LOMO OME,5450
194,,ARROLL HUASO OME,5490
195,,"PRIETA OMEÑACA ",4500
196,,SALAME COCIDO OMEÑACA,11900
197,,MORTADELA LISA,2400
198,,ATUN LOMO CONGELADO,18000
199,,ALEMANA OMENACA,1800
200,,COSTILLAR ALIÑADO SUPER CERDO,6490
201,,CHORIZO PARRILLERO SOPRAVAL,2900
202,,CHULETA CERDO PARILLA,3490
204,,PATE JAMON TEEWURST,4500
205,,PATE DE TERNERA,2500
206,,CERVECERO PF,4000
207,,JAMON PECHUGA DE POLLO,3000
208,,CHORRIZILLO COCKTAIL PREF,4000
209,,CERVECERO ESPC PF,3300
210,,JAMON PAVO COC P.F,6500
211,,MORTADELA PAVO SWAN,1800
212,,JAMON MUNSTER SWAN,5200
214,,SALCHICHON CERVEZA SOPRAVAL,6490
215,,PAVO PIMENTON PF,1800
216,,JAMON PECHUGA COCIDO SOPRAVAL,4200
217,,PECHUGA PAVO AHUMADA PF,6900
218,,MORTADELA LISA P.F,7500
219,,JAMON PIERNA PREF,12900
220,,JAMON ACARAMELADO LA  PREFERIDA,12900
221,,ARROLLADO HUASO PREFERIDA,11500
222,,JAMONADA LA PREFERIDA,7500
223,,SALCHICHON CERVECERO,10900
224,,CHORIZO PREF,3000
225,,JAMONADA PAVO SOPRAVAL,2600
226,,SALAME AHUMADO LA CRIANZA,9900
227,,SALAME ITALIANO SUPER CERDO,5900
228,,JAMON SANDWICH SUPER CERDO,3990
229,,MORTADELA JAMONADA S POLLO,3600
230,,PECHUGA PAVO AHUMADA SOPRAVAL,12900
231,,JAMON PAVO AHUMADO SOPRAVAL,12900
232,,PECHUGA PAVO ASADA SOPRAVAL,12900
233,,PECHUGA PAVO AHU SOPRAVAL,5900
234,,JAMON PAVO COCIDO SOPRAVAL,12900
235,,JAMONADA AVE P.F,7500
236,,SALAME ITALIANO/ AHUMADO LA CRIANZA,9900
237,,ARROLLADO DE HUASO SOPRAVAL,7800
238,,QUESO FRESCO,3490
239,,QUESO RALLAR,9900
240,,MORT BOLOGNA PF,2200
241,,MORT ITALIANA PF,2200
242,,PAN ESPECIAL,2700
243,,ARROLLADO DE LOMO SOPRAVAL,7800
244,,PAN AMASADO,2100
245,,PAN DE MESA,2600
247,,PAN,2550
248,,PECHUGA ASADA PRERFERIDA,14500
249,,NOSE,1490
250,,JAMON SANDWICH P.F,6500
251,,QUESO LONGAVI,9450
252,,QUESO  LAMINADO,9900
253,,LOMO VETADO TIPO A,7900
254,,LOMO VETADO TIPO A,11900
255,,ASIENTO CAT V,9490
259,,CAZUELA DE  VACUNO,3490
260,,ASADO CARNICER V,8490
261,,JAMON AHUMADO P.F,12900
262,,PALANCA TIP A,5490
263,,OSOBUCO DESHUESADO,2900
264,,PECHUGA TROZADA,1700
266,,CAZUELA DE POLLO,790
268,,PANCETA,12900
269,,JAMON SANDWICH,6500
270,,CAMARON CHICO,7500
271,,CAMARON ECUATORIANO,8500
272,,OSTION,9500
273,,CHORITOS CONGELADOS,4500
274,,SURTIDO MARISCOS,4500
275,,CALAMAR,4500
276,,SALMON FILETE,18000
277,,CONGRIO CONGELADO,18000
278,,REINETA,15000
279,,SALMON AHUMADO,5900
280,7017719723,LOCOS,34000
281,7801907009782,CARNE MOLIDA,2600
282,,TERCERA SEMANAL,1800
283,,TERCERA FDS,2000
284,,LA TERCERA DOMINGO,2000
285,,APORTE PUBLICITARIO,2380000
286,,JAMON PAVO COCIDO RECETA ABUELO,7500
287,,JAMON PIERNA OMEÑACA,18000
288,,ARROLLADO PF RECETA ABUELO,9490
289,,SALAME ARTESANAL PF RECETA ABUELO,18000
290,7898629670390,TABACO,8500
291,7898629670246,TABACO GREEN APPLE,8500
292,8999999037819,PEPSODENT 75G,1900
293,7311570542504,PEPSODENT 50ML,1450
295,608875001025,TOMATO KETCHUP 397G,3150
296,7804613390328,QUESO CREMA LA BAQUITA,650
297,7806810011334,ESCOBILLON,2900
298,781159451997,LENTEJAS 1KILO,2300
299,6971564501118,PANKO 1 KG,4200
300,,ALMENDRAS,18000
301,,CHURRASCOS OMEÑACA,4900
302,,PECHUGA DE PAVO COCIDA SOPRAVAL,12900
303,,JAMONADA DE POLLO SOPRAVAL,7500
304,,MORTADELA FINA SOPRAVAL,7500
305,,MORTADELA JAMONADA SOPRAVAL,7500
306,,MORTADELA AVE PIMENTON SOPRAVAL,7500
307,,JAMON ACARAM.PF,12900
308,,JAMON PAVO ACARAMELADO SOPRAVAL,12900
309,,PECHUGA PAVO COCIDA AGRO,10900
310,,PECHUGA  PAVO AHUMADA P.F,12900
311,,JAMON SANDWICH SUPER CERDO,4100
312,,JAMON ACARAMELADO SUPER CERDO,5490
313,7804608222610,POROTO NEGRO,2900
314,,PAVO ENTERO,2100
315,,MORTADELA DE POLLO SOPRAVAL,7500
316,,"JAMONADA DE POLLO SUPER ",3250
317,,MEDALLON DE PAVO,2500
318,,JAMON PECHUGA PAVO COCIDA,5500
319,,JAMON AHUMADO SOPRAVAL,6990
320,,ARROLLADO LOMO S CERDO,6490
321,,MORTADELA LISA S CERDO,2200
322,,CAMEMBERT STA. ROSA,1850
323,,SALCHICHON CERVEZA  P.F,5900
324,,JAMON ACARAMELADO SOPRAVAL,12900
325,,JAMON PECHUGA DE POLLO S POLLO,6450
326,,SALAME MILANO OMENACA,6600
327,,SALAME ESPANOL OME NACA,6900
328,,BOLOGNA OMEÑACA,1800
329,,JAMON SANDWICH FASTDELI,2800
330,,MORTADELA LISA FASTDELI,1800
331,,CERVECERO FASTDELI,2900
332,,MORTADELA JAMONADA FASTDELI,2900
333,8002670501810,LECHE SOYA,4500
334,,PEPERONI OMENACA,6900
335,,ACARAMELADO OMENACA,15000
336,,POLLO ASADO,3500
337,,QUESO HUENTELAUQUEN,6900
338,8002670500615,LECHE DE ALMENDRAS,4500
339,,J. PAVO ACARAM. OMEÑACA,13000
340,,PAVO OMEÑACA,7500
341,,QUESO LOS CRIADORES,6900
342,,JAMON ARTESANAL PREFERIDA,12900
343,,VIENESA GRANEL,1800
344,,SALAME PAVO LA PREFERIDA,7490
345,,JAMON  PAVO COCIDO.SOPRAVA,6990
346,,JAMON PAVO OMEÑACA,5900
347,,HUACHALOMO,3990
348,,ENTRAÑAS CAT V,17500
349,,PECHUGA PAVO COCIDA PREFERIDA,12900
350,,PECHUGA PAVO ACARAM.PREFERIDA,12900
351,,JAMON PAVO ACARAM.PREFERIDA,12900
352,,JAMON DE PAVO COCIDO PREFERIDA,12900
353,6991356897816,MASCARILLA,9900
354,7801930017952,PF SALAME AHUMADO 100G,1700
355,,PANCETA AHUMADA PREFERIDA,9900
356,,SALAME CLASICO OMEÑACA,18000
357,,"QUESO CABRA ",14500
358,,QUESO PROVOLETA,14500
359,,QUESO CABRA AHUMADO,11900
360,,QUESO EMMENTAL STA ROSA,24900
361,,TRUTO AHUMADO SOPRAVAL,1490
362,,PECHUGA PAVO AHUMADA PF,5500
363,,QUESO REGGANITO,16500
364,,"QUESO EDAM SANTA ROSA ",17900
365,,QUESO PARMESANO QUILLAYES,14900
366,,QUESO BRIE STA ROSA,2150
367,,QUESO EMMENTAL,8900
368,,QUESO GRUYERE QUILLALES,14900
369,,QUESO TILSITER OCTAY,8500
370,,QUESO PIMIENTA OCTAY,8500
371,,QUESO EDAM OCTAY,8500
372,,QUESO PROVOLETA,25000
373,,PASYRAMI LA PREFERIDA,7990
374,,JAMON PAVO AHUMADO PREFERIDA,10900
375,,QUESO AZUL LOS QUILLAYES,14900
376,,QUESO CHANCO LOS QUILLAYES,6900
377,,PUNTA PALETA,3490
378,,QUESO MOZZARELLA QUILLAYES,13400
379,,QUESO CON OREGANO OCTAY,8500
380,,PAN DOBLADAS,990
381,,LONGANIZA DE CAMPO OMEÑACA,5900
382,,LONGANIZA PARRILLERA OMEÑACA,5900
383,,"QUESO EDAM LOS QUILLAYES ",11500
384,,QUESO REGGUIANITO SANTA ROSA,22900
385,,QUESO CHEDDAR STA. ROSA,14000
386,,PICHANGA,3500
387,,QUESO QUILLAYES,21000
388,7804614181895,ALCOHOL 220ML,3990
389,7801930022000,VEGAN C RISPY 120G,990
390,7891962060460,TOSTADA INTEGRAL,1350
391,,JAMON PACO COCIDO ACARAMEL.OMEÑACA,6490
392,,PECHUGA PAVO AHUMADA PREFERIDA,12900
393,,PECHUGA PAVO AHUMADA SOPRAVAL,6800
394,,SALAME AHUMADO PREFERIDA,11900
395,,SALAME ITALIANO PREFERIDA,9900
396,,JAMON COCIDO PLANCHADO OMEÑACA,15000
397,,JAMON AHUMADO SOPRAVAL,12900
398,,MORTADELA JAMONADA ESPECIAL OMEÑACA,4900
399,,SALCHICHON CERVECERO ESPECIAL PF,4450
400,,QUESO GRUYERE SANTA ROSA,18500
401,,MANZANAS,2490
402,,MANDARINAS,1900
403,,MELON,2900
404,,NARANJA,1490
405,,PAPAS,2300
406,,PALTAS HASS,4900
407,,PLATANOS,2450
408,,PEPINOS DULCES,1900
409,,PEPINO ENSALADA,890
410,,PERAS,1900
411,,PEREJIL,750
412,,RABANOS,750
413,,REPOLLO,2900
414,,TOMATES,1950
415,,PIMENTON,1500
416,,POROTOS GRANADOS,2900
417,,POMELO,1900
418,,CEBOLLA NUEVA,500
419,,CEBOLLA,2300
420,,CEBOLLIN,1250
421,,BROCOLI,1900
422,,BRUCELAS,1380
423,,AJO,490
424,,CIBOULETTE,490
425,,ALCACHOFA,990
426,,APIO,1500
427,,CIRUELA,1900
428,,COLIFLOR,2490
429,,CHOCLO AMERICANO,1200
430,,CHOCLO HUMERO,690
431,,AJI VERDE,7000
432,,ACELGA,600
433,,DAMASCO,1450
434,,DURAZNOS,2490
435,,ALBAHACA,1450
436,,DURAZNOS PELADOS,2490
437,,HIGOS,1500
438,,ESPINACA,490
439,,FRUTILLAS,3900
440,,GUINDAS,1800
441,,HABAS,850
442,,KIWI,2490
443,,LECHUGA COSTINA,1100
444,,LECHUGA ESCAROLA,1100
445,,ARVEJAS,1200
446,,BETARRAGA,1200
447,,LECHUGA,1100
448,,LIMONES,1490
449,,LIMON PICA,7900
450,,LIMON SUTIL,1900
451,,TUNA,2500
452,,ZANAHORIA,1750
453,,CILANTRO,990
454,,ZAPALLO ITALIANO,750
455,,ZAPALLO VIEJO,2900
456,,ESPARRAGOS,1200
457,,POROTOS VERDES,3900
458,,BREVAS,2590
459,,CHIRIMOYA,3900
460,,UVA,2500
461,,ACHICORIA,650
462,,CIBULLET,990
463,,TOMATE CHERRI,4500
464,,ARVEJAS,1200
465,7804077000115,CHANCACA 450G,2900
466,,MENTA,990
467,,DIENTE DE DRAGON,2400
468,,BERRO,1000
469,7802420006012,TE CEYLAN PREMIUN,3490
470,,BERENGENAS,600
471,,ACHICORIA,450
472,,KAKI,990
473,7802420510380,ESPARRAGOS 425G,2990
474,7809611714039,CHORIZO PATAGONICO LA CRANZA,3990
475,7790520009746,RAID,5900
476,7801620009687,WATTS TUTTIARANDANO,1850
477,7802000017544,CHEETOS,890
478,7802000018046,DORITOS 130G,1900
479,7803468003452,ANDALE 10 UNIDADES,2750
480,7802000017780,DORITOS FLAMIN HOT,1900
481,7801907001519,CHRORIZO SAN JORGE 250 G,1490
482,90454707,RED BULL,1690
483,7802225640848,BON BON GALLETAS,1450
484,7802410303473,POLVOS DE HORNEAR 500G,3490
485,7791293043920,DOVE ORIGINAL 250ML,3900
486,7791293045115,REXONA 72 H,3500
487,7622201711726,TRIDENT,2990
488,7622201508227,TRIDENT,2900
489,7802955008819,CALAN 90ML,2900
490,,NISPERO,1490
491,,CEBOLLA MORADA,1900
492,,PAPAYAS,2900
493,,PUERROS,450
494,000058553084,TOALLA HAUS,13900
495,,LUCUMAS,9999
496,,MEMBRILLOS,1200
497,,PIÑA,3900
498,,PALTA NEGRA DE LA CRUZ,3500
499,,COLUDA V,1900
500,,EMPANADA DE PINO,1800
501,,EMPANADA DE MARISCO,1800
502,,EMPANADA DE QUESO,990
503,,HUMAS,850
504,,POLLO ASADO,4900
505,,JANON PAVO AHUMADO WINTER,6490
506,,SALCHICHON CERVEZA WINTER,2900
507,,JAMON PAVO WINTER,4650
508,,MORTADELA PAVO WINTER,2900
509,,PECHUGA PAVO AHUMADA WINTER,6490
510,,ARROLLADO MINI WINTER,4200
511,,ARROLLADO ARTESANAL WINTER,4700
512,,JAMON SANDWICH WINTER,3200
513,,SALAME EXTRA WINTER,6490
514,,SALCHICHON CERVEZA EXTRA WINTER,6490
515,,SALCHICHON CERVEZA WINTER,2600
516,,JAMON PIERNA AHUMADA WINTER,6490
517,,JAMON ACARAMELADO WINTER,7900
518,,JAMON COLONIAL WINTER,7900
519,,JAMON COLONIAL WINTER,7490
520,,JAMON TRADICIONAL WINTER,3500
521,,JAMON PIERNA WINTER,5490
522,,MOERTADELA ALEMANA WINTER,2200
523,,MORTADELA DE POLLO WINTER,2900
524,,MORTADELA JAMONADA WINTER,2900
525,,MORTADELA FINA WINTER,2200
526,,TRUTRO DESHUEZ.AHUMADO SOPRAVAL,1300
527,,LONGANIZA DE PAVO SOPRAVAL DISPLAY 1K,2500
528,,JAMON ACARAMELADO LA CRIANZA,6500
529,,JAMON ARTESANAL LA CRIANZA,7490
530,,SALAME AHUMADO LA CRIANZA,6500
531,,SALAME ITALIANO LA CRIANZA,6500
532,,MORTADELA LISA DE POLLO,2500
533,400006839626,TOALLA HAUS COLOR,9900
534,8445290386892,SAHNE NUSS 90G,3200
535,78027480,BON O BON,250
536,7802225512633,BON O BON 90G,1450
537,,MELON CALAMEÑO,2500
538,,SANDIA,4900
539,,GUINDAS,2900
540,,JENGIBRE,12000
541,,MORTADELA ALEMANA OMEÑACA,1800
542,,PECHUGA PAVO AHUMADA PREFERIDA,9900
543,7800159002114,HEINZ 226G,4490
544,7802000017445,CHEETOS 200G,2450
545,7803468001595,CASTAÑO FRUTOS ROJOS 800G,7500
546,7801907004305,PATE TERNERA SAN JORGE 125G,1200
547,7500435195485,ARIEL 400G,1990
548,7802000017704,LAYS JAMON SERRANO 36G,890
549,7800159081188,KETCHUP KRAFT,3200
550,7802225590297,BON O BON 95G CHOCOLATE,1250
551,7802000017537,LAYS KETCHUP 36G,890
552,7802225512565,BON O BON 210G,3500
553,7809611720733,SALCHICHAS DE PAVO 250G,1350
554,7803908007781,GUALLARAUCO FRAMBUESA ALMENDRA,1850
555,,JAMON SAWDICH SUPER POLLO,4900
556,7803908007774,GUALLARAUCO FRUTOS ROJOS,1850
557,7803908007743,GUALLARAUCO MANGO MARACUYA,1250
558,7801928000454,TABLA DE COCTEL,6100
559,7801620009786,LIPTON 600ML LIMON,990
560,7801620009793,LIPTON DURAZNO 600ML,990
561,7528530064796,KIT FLEXIBLE HE HI CON LLAVE ANGULAR,9490
562,7802000017735,LAYS OREGANO 36G,890
563,7802000014963,AVENA QUAKER 700G,3490
564,7802000014130,AVENA QUAKER 700G,3490
565,7802000017858,AVENA QUAKER 400G,2450
566,7802000017865,AVENA QUAKER 400G,2450
567,7613287784247,GOLD NESTLE 570G,3690
568,7804658860480,EL MONARCA 900G,1490
569,7803403003295,AGUA DE PIEDRA QUEQUE,1750
570,7803403003301,QUEQUE,1750
571,7802900003401,SOPROLE ZERO LACTO,1650
572,7802900295127,JALEA,360
573,7802900003562,MANJARATE BLANCO,790
574,7802900003463,COOKIES LEC HE,1490
590,,CALLAMPAS SECAS 100GRS,1850
598,,ESPARRAGOS,2900
601,,RABANO BLANCO,400
680,,POROTOS GRANADOS,3000
885,,MENTA,990
886,,ROMERO,990
887,,MANGO,2900
888,,PALTA NEGRA LA CRUZ,1990
889,,"RUCULA ",990
890,,melon calameño,900
900,,"ALFAJORES ",250
901,,DOCENA DE ALFAJORES,2700
911,,MERMELADA DE CEREZA,2750
999,,LONGANIZAS,3750
1000,78025059,PALL MALL VERDE XL,4400
1001,7613039566220,MOROCHA TRMENDA 95 GR,1100
1002,7803520002522,QUINOA ECOVIDA,1490
1003,7804630010056,TIKA 135G MERKEN,2650
1004,78025066,PALL MALL SUNSET XL,4400
1005,7803403003066,PAN ARTESANO 450G IDEAL,2750
1011,7801220000657,PAPAS DUQUESAS,3450
1012,7801220801254,MIX POROTOS GRANADOS,2150
1013,7801220701011,HABAS,1490
1014,7801220004594,CHOCLO PERUANO,2100
1015,7801220000565,HUMITAS,3490
1016,7801220004860,HAMBURGUESAS DE POROTOS NEGROS,750
1017,7801220004884,HAMBURGUESA DE LENTEJAS,750
1018,7801220004877,HAMBURGUESAS DE GARBANZOS,750
1019,7801220003887,PIÑA TROZO,2990
1020,7801220001470,FRUTOS DEL BOSQUE,2990
1021,7801220003528,MANGO EN TROZOS,2490
1022,7801930013732,PASTEL DE CHOCLO,2950
1023,7801930018416,LASAÑA DE VERDURAS,2950
1024,7801930018744,MANTEQUILLA DE CAMPO FRUTILLAR,1750
1025,7801930021058,JAMON SUREÑO,1950
1026,7801930000527,PECHUGA ASADA,1950
1027,7801930018058,CREAM CHEESE,2790
1028,7801930012407,CHURRASCO DE VACUNO,1300
1029,7801930018553,CHURRASCO DE VACUNO,690
1030,7801930014067,ESCALOPA DE VACUNO KAYSER,1100
1031,7801930019376,LONGANIZA DE CAMPO,2590
1032,7801930014043,CROQUETA DE POLLO,490
1033,7801930021034,JAMON PLANCHADO,1950
1034,7790520016324,LYSOFORM BOSQUE Y FRAGANCIA,1890
1035,7790520016317,LYSOFORM CAMPOS DE LAVANDA,2400
1036,7790520012395,MR MUSCULO BAÑO,1750
1037,7790520023940,LYSOFORM PASTILLA,2900
1038,7806500799504,BABYSEC XXG,5490
1039,099176480310,COLGATE TOTAL 12,2890
1040,7801840000327,YERBA MATE CON PALO YI-YI,5490
1041,7801840000273,YERBA MATE NATURALES,4500
1042,077330230520,GALLETAS DANISH COOKIES,5490
1043,070177197308,TW LEMON,3490
1044,8858135052089,FIDEOS DE ARROZ,2900
1045,8858135052065,FIDEOS DE ARROZ,2900
1046,198,ATUN LOMO CONGELADO,18000
1047,7802200130135,MARSH MALLOW,1790
1048,7802225688567,MINI CHOC,350
1100,,GAS 11 KGRS GASCO,25000
1300,,PACK AGUA VITAL,1300
1400,,HIELO 2KG,1400
1500,,GAS 15KGRS GASCO,28000
1889,,PECHUGA  DE  PAVO DESHUESADA,3990
1992,,"TOMATE CHERRY ",500
2400,,LONGANIZA  DE  CAMPO,4500
2900,,ALCAPARRAS ESTANDAR 200G.,2900
4220,,MILKY WAY.,950
4500,,GAS DE 45KGRS GASCO,57000
5000,,GAS 5 KGRS GASCO,16900
5001,,HAMBURGUESAS  AGROSUPER 100GRS,480
6000,,HIELO 1K,1200
6500,,CAMARONES,6500
7753,,PANTENE RESTAURACION 100ML,990
8000,7804609730602,WYN LIMPIAVIDRIOS RECARGA 450ML,1600
8001,7779970674346,SEDAL SHAMPOO COCO 45ML,350
8002,5551809200115,HUAWEI CARGADOR,4900
8003,7802351625047,MAYONESA DON JUAN  760G,2100
8040,78019065,PALL MALL VERDE,2600
8048,3100004092609,BALDE,3500
8049,7803480001214,FUCHS PAN PARA HAMBURGUESA,2990
8050,040000002376,MYM MINIS,1250
8051,5412588065466,PAPAS COOL MIND 2KG,3900
8052,7804669830113,TOALLITAS SANELLE,2500
8053,7806500406471,NOVA ULTRA MEGA ROLLO,1600
8054,041333000985,DURACELL X2,4900
8055,7800045001849,ALCOHOL 1LT,4200
8056,7803501001827,PROPOLEO SPRAY,3900
8057,7800004508846,NENEGLOSS,2190
8059,7800004003129,LEBLON BABY KIDS,4200
8060,7800004504787,LEBLON EXTREME SPORT,3990
8061,7800004508006,LEBLON EXTREME SPORT,2900
8062,071287870129,TOALLAS HUMEDAS Y DESINFECTANTES,3490
8063,7801620007324,CANADADRY 2LT LIGHT DES,1650
8064,7790040720800,MANA SABOR VAINILLA,2750
8067,7802225317405,SELZ  LIGHT,2150
8070,7804603532493,ALCOHOL GEL,6500
8071,070847009559,MOSTERS GUARANA,1990
8072,90446245,RED BULL SABOR ACAI,1690
8073,070847029205,MONSTERS ENERGY,1690
8074,7613287171696,HELADO KIT KAT,2250
8076,7613039056974,TRITON,1100
8077,7803480001269,PAN MOLDE LINAZA CHIA IDEAL,3500
8078,7802000013607,LAYS TARRO 134G,2800
8079,041333001043,DURACELL 9V,4450
8080,039800011626,EVEREADY 9V,1700
8081,041333016634,DURACELL AA,850
8082,7806500406495,TOALLAS ULTRA MEGAROLLO,1750
8083,7806540001865,FAVORITA,1750
8084,77961662,PAPEL FINO  PREMIER,790
8085,7613287072801,CENTELLA MORA CREMA,650
8086,040000000518,STARBURST,1450
8087,040000514206,TWIX,1490
8088,022000018465,SKITTLES,1350
8089,022000018489,SKITTLES,1350
8090,7802225406147,MOGUL COCODRILITOS,350
8091,78025257,MANCHATE LA LENGUA,200
8092,78025264,MANCHATE LA LENGUA,200
8093,7801000231882,ALCOHOL,1250
8094,4002604034760,FILTROS,2500
8095,7805000320973,MAYONESA HELLMANS 80G PLATA,950
8096,2024705803023,ARTEYCOR PLASTICINA,1750
8097,040000536789,MYM,1490
8098,L780500032097,HELLMANNS PALTA,790
